route_id,stop_list
1180,"['F00620', 'F00611', 'F00580', '009554', '011320', 'F00441', 'F00513', 'F00443', 'F00517', 'F00547', 'F00514', 'F00548', 'F00516', 'F00670', 'F00681', 'F00520', 'F00549', 'F00523', 'F00678']"
1210,"['106377', 'F00813', 'F00817', 'F00879', 'F00829', 'F00831', 'F00888', 'F00840', 'F00841', 'F00853', '009516', '008289', 'F00874', 'F00760', 'F00752', 'F00748', 'F00733', 'F00740', 'F00742']"
2545,"['F03862', '022005', 'F03859', 'F03654', 'F03650', 'F03663', '008950', '008267', 'F03918', 'F01453', 'F01285']"
2555,"['F03862', '022005', 'F03859', 'F03654', 'F03650', 'F03663', '008950', 'F03819', '008267', 'F01453', 'F01474', 'F01417', 'F01404', 'F01386', '011765']"
2980,"['019316', 'F03484', 'F03490', '066697', '141891', '139996']"
1240,"['F03008', 'F03032', 'F03009', 'F03012']"
1250,"['043191', 'F02854', 'F02853', 'F02914', 'F02851', 'F02946', 'F02855', 'F03092', 'F03090', '009538', 'F03088', 'F03173', 'F03084', 'F03080', 'F03078', 'F03075', 'F03077', 'F03067', 'F03068', 'F03179', 'F03050', 'F03046', 'F03026', '007968', 'F03016', 'F03018', 'F03171', 'F03176', '063399', 'F03004', 'F03003']"
1935,"['038673', 'F01545', 'F03716', 'F03790', 'F03867', 'F03794', 'F03797', 'F03795']"
1980,"['008921', 'F03626', 'F03624', '009480', 'F03633', 'F03685', 'F03683', 'F03721', 'F03706', 'F03702', 'F03829', 'F03698', 'F03695', 'F03428', 'F03601', 'F03430', 'F03432', 'F03565', 'F03563', 'F03597', 'F03591', 'F03524', 'F03590', 'F03525', 'F03529', 'F03534', 'F03536', 'F03538', '009549', '009491', '009493', '009494', 'F03545', 'F03542', 'F03593', 'F03610', 'F03457', 'F03458', 'F03447', 'F03469', 'F03573', 'F03576', 'F03578', 'F03580', '009707', '009708', 'F03582', 'F03598', '011768']"
1350,"['009358', '009338', '049170', '049171', '049172', 'F04543', 'F04569', 'F04533', '008954', '008956', '008958', '009147', 'F04564', 'F04573', '069403', 'F04166', 'F04525', 'F04575', '049174', '009566', '087373']"
1830,"['F03711', 'F03704', 'F03705', 'F03720', 'F03684', 'F03686', 'F03634', 'F03638', 'F03857', 'F03640', 'F03802', 'F03851', 'F03807', 'F03808']"
1660,"['F03810', 'F03784', 'F03789', 'F03846', 'F03848', 'F03798', '022005', 'F03859', 'F03654', 'F03650', 'F03663', '008399', 'F03672', 'F03820', 'F03676', 'F03659', 'F04562', 'F04566', 'F04561', 'F04559', 'F04557', 'F04555', 'F04545', 'F04543', 'F04569', 'F04533', 'F04531', 'F04529', 'F04050', 'F04121', 'F04145', 'F04122', 'F04129', '009582', 'F01435']"
2660,"['F03795', 'F03796', 'F03793', 'F03868', 'F03788', 'F03785', 'F03810', 'F03784', 'F03789', 'F03846', 'F03848', 'F03798', '022005', 'F03859', 'F03654', 'F03650', 'F03663', 'F03665']"
1190,"['009715', '009716', '009717', '009718', '009719', 'F04145', 'F04122', 'F04128', '008898', '009582', 'F01434']"
9640,"['F04703', 'F04831', 'F04799', 'F04700', 'F04704', 'F04706', 'F04705', 'F04701', 'F04797', 'F04698', 'F04697', 'F00118', 'F00399', 'F00397', 'F00395', 'F00401', 'F00403', 'F00405', 'F00407', 'F00361', 'F00359', 'F00340', '007972']"
9630,"['031884', 'F04828', 'F04826', 'F04785', 'F04783', 'F04781', 'F04779', 'F04824', 'F04777', 'F04822', 'F00352', 'F00350', 'F00354', 'F00369', 'F00357', 'F00340', '007972']"
1885,"['009438', '009440', '107799', '009443', 'F04708', 'F04733', '044380', '044382', '047985', '098882', '098531', '098535', '098538', 'F04740', 'F04804', 'F04802', 'F04711', 'F04838', 'F04830', 'F04715', 'F04806', '008597', '075744', '061277']"
1880,"['061275', '082617', 'F01931', 'F02266', 'F02217', 'F04795', 'F04791', 'F04735', 'F04809', 'F04721', 'F04719', 'F04807', 'F04717', 'F04714', 'F04829', 'F04837', 'F04710', 'F04801', 'F04803', 'F04739', '098540', '098536', '098532', '099012', '061378', '044383', '044381', 'F04734', 'F04709', '009442', '047670', '009439', '009438']"
1401,"['F04836', 'F04713', 'F04715', 'F04716', 'F04808', 'F04720', 'F04722', 'F04810', 'F04736', 'F04792', 'F04796', 'F02218', 'F02267', 'F01933', 'F01930', 'F01929', 'F01927', 'F02054', 'F02113', 'F02169', '043343', 'F02311', 'F00014', 'F00022', 'F02470']"
1400,"['074495', '008323', '008326', '008322', '073427', '008447', '073426', 'F04755', 'F04754', '008325', '142233', '008319', '008847', 'F04726', 'F04836', 'F04713', 'F04715', 'F04716', 'F04808', 'F04720', 'F04722', 'F04810', 'F04736', 'F04792', 'F04796', 'F02218', 'F02267', 'F01933', 'F01930', 'F01929', 'F01927', 'F02054', 'F02113', 'F02169', '043343', 'F02311', 'F00014', 'F00022', 'F02470']"
1402,"['008339', 'F04725', '008597', '008846', '008318', '142232', '008324', '008317', '073473', '073427', '008447', '073426', '073472', 'F04814', 'F04759', '008328', '008330', '008332', '008333']"
1720,"['008317', '073473', '073472', 'F04814', 'F04759', 'F04761', 'F04763', 'F04764', 'F04746', 'F04744', 'F04743', 'F04747', 'F04812', 'F04749', '073471']"
1730,"['062604', 'F04750', 'F04813', 'F04748', 'F04744', 'F04743', 'F04745', 'F04765', 'F04762', '008345', 'F04815', '008322']"
2720,"['007817', '048305', '048303', '008317', '073473', '073472', '098674', 'F04750', 'F04813', 'F04748', 'F04744', '075744', '061277']"
1300,"['F01317', 'F01321', 'F01738', 'F02929', 'F02747', 'F02931', 'F02751', 'F02936', 'F02786', 'F02783', 'F03276', 'F03263', 'F03262', 'F03259', '043341', 'F03350', 'F03219', 'F02984', 'F02985', 'F03148', 'F03201', 'F03209', 'F03154', 'F03159', 'F03193']"
2400,"['F04835', 'F04713', 'F04715', 'F04716', 'F04808', 'F04720', 'F04722', 'F04810', 'F04736', 'F04792', 'F04796', 'F02218', 'F02267', 'F01933', 'F01930', 'F01927', 'F02113', 'F02173', 'F02201']"
0161,"['F02469', 'F00031', 'F00070', 'F00114', 'F00071', 'F00074', 'F00073']"
1160,"['F00073', 'F00072', 'F00069', 'F00030', '009730', '008087']"
0130,"['009105', '009104', '009102', '009100', '009098', '009096', '008480', 'F04773', 'F04816', 'F04772', 'F04769', 'F04768', 'F04481', 'F04483', 'F04515', 'F04485', 'F04490', 'F04492', 'F04499', 'F04498', 'F04493', 'F04491', 'F04486', 'F04487', 'F04488', 'F04489', 'F04477', 'F04478', 'F04521', '008169', '102569', 'F04458', '007999']"
1130,"['F04769', 'F04768', 'F04481', 'F04483', 'F04515', 'F04485', 'F04490', 'F04492', 'F04499', 'F04498', 'F04493', 'F04491', 'F04486', 'F04487', 'F04488', 'F04489', 'F04477', 'F04478', 'F04521', '008169', '102569', 'F04458', '007999']"
2870,"['008120', 'F04457', '102568', 'F04468', 'F04512', 'F04470', 'F04473', '062522', '062515', '083329', 'F04390', 'F02162', 'F02160', 'F01880', 'F01883', 'F01886', 'F02069', 'F01906', 'F01910', 'F04731', '009085', 'F04730', 'F04728', '008598', 'F04721', 'F04719', 'F04807', 'F04717', 'F04714', 'F04712', 'F04724']"
0131,"['008120', 'F04457', '102568', '008168', '008119', '008110', '008109', '008114', '008113', '008112', '008111', 'F04516', 'F04484', 'F04482', 'F04767', 'F04770', 'F04769']"
9920,"['F03289', 'F03338', 'F03336', 'F03327', '044125', '008775', 'F03405', 'F03284', 'F04584', '009000', '009763', '009002', '009004', '009007', '009009', '009011', '009013', '009012', '009010', '009008', '009005', '009014', '009022', '009015', '009016', '009018', '009019', '110870']"
3511,"['F01379', 'F01382', '008702', 'F01393', 'F01398', 'F01506', 'F01341']"
3510,"['F01379', 'F01382', '008702', 'F01393', 'F01398', 'F01506', 'F01341', '040525', 'F01414', 'F01349', 'F01421', 'F01427', 'F01357', 'F01436', 'F04152']"
1131,"['008120', 'F04457', '102568', '008168', '008119', '008110', '008109', '008114', '008113', '008112', '008111', 'F04490', 'F04492', 'F04499', 'F04498']"
1740,"['F02759', '009499', '009500', '009381', 'F03268', 'F03255', 'F03252', 'F03358', '008946', '009375', '008947', 'F03295', 'F03378', 'F03391', 'F03301', 'F03302', 'F03304']"
1070,"['F01314', 'F01161', 'F01166', 'F01171', 'F01017', 'F01004', '062518', 'F00108', '071236', '121946', '062620', '062622', '008280', '071262']"
0871,"['061188', '082617', 'F01928', 'F01931', 'F01932', 'F01935', 'F02233', 'F01937', 'F01913', 'F01909', 'F01907', 'F02070', 'F01887', 'F01884', 'F01881']"
1870,"['F01880', 'F01883', 'F01886', 'F02069', 'F01906', 'F01908', 'F01913', '009352', '009354', '009356', '009431', '009430', '075744', '061277']"
0870,"['061188', '082617', 'F01928', 'F01931', 'F01932', 'F01935', 'F02233', 'F01937', 'F01913', 'F01909', 'F01907', 'F02070', 'F01887', 'F01884', 'F01881', 'F02159', 'F02161', 'F04392', 'F04393']"
0350,"['008967', 'F04574', 'F04524', '045755', 'F04165', 'F04083', 'F04075', 'F04074', 'F04065', 'F04110', 'F04109', 'F04135', 'F04127', 'F04123', 'F04144', 'F04148', 'F04307', 'F04316', 'F04314', '008067', 'F04278', 'F04191', 'F04193', 'F04200', 'F04206', 'F04207', 'F04211', 'F04334', 'F04281', 'F04282', '067622']"
